CID,CD_DESCRICAO
K023,Caries dentarias estaveis
S429,Frat da cintura escapular parte NE
L238,Dermatite alergica contato dev outr agentes
W646,Areas industriais e em construcao
T497,Drogas dentarias de uso topico
M948,Outr transt espec da cartilagem
X735,Areas de comercio e de servicos
X743,Area p/a pratica de esportes e atletismo
X698,Outr locais espec
P023,Fet rec-nasc afet sindr transf placentaria
L564,Erupcao polimorfa a luz
V041,Acid trans
W01,Queda mesmo nivel escorr tropec passo falso
T280,Queim da boca e da faringe
O069,Completo ou NE s/complic
I088,Outr doenc de mult valvas
D594,Outr anemias hemoliticas nao-autoimunes
B650,Esquistossomose dev Schistosoma haematobium
D413,Uretra
Z659,Probl relac circunstancias psicossociais NE
S145,Traum dos nervos simpaticos do pescoco
T980,Sequelas efeit penetr corpo estranh orif nat
K704,Insuf hepatica alcoolica
I739,Doenc vasculares perifericas NE
Z101,Exame geral de rotina resid de instituicoes
Y64,Medicamentos ou subst biolog contaminados
T172,Corpo estranho na faringe
G06,Abscesso granuloma intracran intra-raquid
A279,Leptospirose NE
M714,Deposito de calcio em bolsa sinovial
D236,Pele dos membros super incl o ombro
O981,Sifilis complic gravidez parto e puerperio
A186,Tuberc do ouvido
P618,Outr transt hematologicos perinatais espec
E351,Transt das supra-renais em doenc COP
Z912,Historia pessoal de ma higiene pessoal
P210,Asfixia grave ao nascer
S952,Traum da veia dorsal do pe
W911,Habitacao coletiva
X045,Areas de comercio e de servicos
C224,Outr sarcomas do figado
K853,Pancreatite aguda induzida por droga
B027,Herpes zoster disseminado
G629,Polineuropatia NE
A169,Tuberc respirat NE s/menc conf bact ou hist
N896,Anel himenal apertado
J201,Bronquite aguda dev Haemophilus influenzae
G20,Doenc de Parkinson
T399,Analges n-opiaceo antipiret e anti-reumat NE
T78,Efeitos adversos NCOP
C91,Leucemia linfoide
T59,Efeito toxico de outr gases fumos e vapores
R258,Outr movimentos involuntarios anormais e NE
Z035,Observacao p/suspeita outr doenc cardiovasc
P21,Asfixia ao nascer
G08,Flebite tromboflebite intracran intra-raquid
C930,Leucemia monocitica aguda
Q91,Sindr de Edwards e sindr de Patau
O713,Laceracao obstetrica do colo do utero
I888,Outr linfadenites inespecificas
O893,Reacao toxica anest local durante puerperio
X390,Residencia
N492,Transt inflam do escroto
O632,Parto retardado segundo terceiro gemeo etc
X475,Areas de comercio e de servicos
D809,Imunodef NE c/predom defeitos anticorpos
Y567,Drogas de uso dentario aplicadas topicamente
I776,Arterite NE
V526,Passageiro acid trans
Z271,Necess imuniz difteria-pertussis-tetano comb
Y185,Areas de comercio e de servicos
I89,Outr transt nao-infecc vasos linf gangl linf
F176,Sindr amnesica
C725,Outr nervos cranianos e os NE
H400,Suspeita de glaucoma
B878,Miiase de outr localiz
W453,Area p/a pratica de esportes e atletismo
N801,Endometriose do ovario
J320,Sinusite maxilar cronica
H68,Salpingite e obstrucao trompa de Eustaquio
Y344,Rua e estrada
G514,Mioquimia facial
F020,Demencia da doenc de Pick
B409,Blastomicose NE
E882,Lipomatose NCOP
O285,Achados cromos genet anorm rastr antenat mae
R630,Anorexia
H650,Otite media aguda serosa
O044,Incompleto s/complic
A289,Doenc bacter zoonotica NE
J028,Faringite aguda dev outr microorg espec
T369,Antibioticos sistemicos NE
B953,S. pneumoniae causa doenc class outr cap
P703,Hipoglicemia neonatal iatrogenica
X431,Habitacao coletiva
O344,Assist prest mae outr anorm colo do utero
Q713,Ausencia congen da mao e de dedos
Y258,Outr locais espec
T055,Amput traum de ambas as pernas
H188,Outr transt espec da cornea
W299,Local NE
S98,Amput traum do tornozelo e do pe
S764,Traum outr musculos tendoes e NE nivel coxa
Y198,Outr locais espec
S750,Traum da arteria femural
X68,Auto-intox intenc a pesticidas
W573,Area p/a pratica de esportes e atletismo
W17,Outr quedas de um nivel a outr
N131,Hidronefrose c/estreitamento de uretra NCOP
W177,Fazenda
C460,Sarcoma de Kaposi da pele
T316,Queim envolv de 60-69% da superf corporal
N84,Polipo do trato genital femin
V469,Ocupante NE acid trans
Z626,Press nao apropr p/pais e outr falhas educ
X445,Areas de comercio e de servicos
N992,Aderencias pos-operatorias da vagina
E129,S/complic
N880,Leucoplasia do colo do utero
Q37,Fenda labial c/fenda palatina
C240,Vias biliares extra-hepaticas
M963,Cifose pos-laminectomia
K744,Cirrose biliar secund
G950,Siringomielia e siringobulbia
V120,Condutor em acid n-trans
O361,Assist prest mae p/outr tipos isoimunizacao
A812,Leucoencefalopatia multifocal progressiva
H504,Outr heterotropias e as NE
E502,Defic de vitamina A c/xerose da cornea
N271,Hipoplasia renal bilateral
B005,Afeccoes oculares dev virus do herpes
Z459,Ajustamento e manuseio de disp implantado NE
S959,Traum vaso sanguineo NE nivel tornozelo e pe
G56,Mononeuropatias dos membros super
D752,Trombocitose essencial
Q131,Ausencia de iris
K41,Hernia femoral
H055,Corpo estranho ret cons ferim perfur orbita
S253,Traum da veia subclavia ou inominada
Q36,Fenda labial
K008,Outr disturbios do desenvolv dos dentes
Z924,Historia pessoal cirurgia grande porte NCOP
N418,Outr doenc inflam da prostata
M864,Osteomielite cronica c/seio drenante
X436,Areas industriais e em construcao
V049,Acid NE se trans ou nao-trans
L580,Radiodermatite aguda
Y193,Area p/a pratica de esportes e atletismo
R13,Disfagia
T904,Sequelas de traum do olho e da orbita
P528,Outr hemorrag intracranianas feto rec-nasc
V265,Passageiro acid trans
X396,Areas industriais e em construcao
X940,Residencia
X426,Areas industriais e em construcao
Y419,Antiinfecc e antiparasitarios sistemicos NE
W169,Local NE
X931,Habitacao coletiva
C819,Doenc de Hodgkin NE
O282,Achados citolog anorm rastr antenatal mae
A93,Outr febres p/virus transm p/artropodes NCOP
R77,Outr anormalidades das proteinas plasmaticas
M600,Miosite infecc
V262,Motociclista NE traum acid n-trans
S061,Edema cerebral traum
X800,Residencia
Y812,Proteses outr impl incl materiais acessorios
M15,Poliartrose
W52,Esmag empurr pisot multidao deband massa
H67,Otite media em doenc COP
S840,Traum do nervo tibial ao nivel da perna
I618,Outr hemorragias intracerebrais
E220,Acromegalia e gigantismo hipofisario
M773,Esporao do calcaneo
A488,Outr doenc bacter espec
N949,Afecc NE assoc org genit femin ciclo menstr
D732,Esplenomegalia congestiva cronica
T202,Queim de 2.grau da cabeca e do pescoco
K401,Hernia inguinal bilateral c/gangrena
M022,Artropatia pos-imunizacao
S97,Lesao p/esmag do tornozelo e do pe
H948,Outr transt espec do ouvido em doenc COP
O669,Obstrucao do trabalho de parto NE
Q699,Polidactilia NE
Y002,Escolas outr instit areas admin publica
N768,Outr inflam espec da vagina e da vulva
Y460,Succimidas
P029,Fet rec-nasc afet anormalidade NE membranas
I650,Oclusao e estenose da arteria vertebral
S697,Traum mult do punho e da mao
E26,Hiperaldosteronismo
V133,Pessoa traum ao subir ou descer do veic
V665,Condutor acid trans
W020,Residencia
C600,Prepucio
D733,Abscesso do baco
L879,Transt da eliminacao transepidermica NE
M063,Nodulo reumatoide
M705,Outr bursites do joelho
W785,Areas de comercio e de servicos
T453,Enzimas NCOP
D035,Melanoma in situ do tronco
H738,Outr transt espec da membrana do timpano
B16,Hepatite aguda B
Q660,Pe torto equinovaro
X320,Residencia
G311,Degeneracao cerebral senil NCOP
X352,Escolas outr instit areas admin publica
T304,Corrosao parte do corpo NE grau NE
Y107,Fazenda
Q53,Testiculo nao-descido
N760,Vaginite aguda
P521,Hemorragia intraventr grau 2 feto rec-nasc
X724,Rua e estrada
X422,Escolas outr instit areas admin publica
N027,Glomerulonefrite difusa em crescente
Z721,Uso de alcool
P700,Sindr do filho de mae c/diabetes gestacional
G520,Transt do nervo olfatorio
R508,Outra febre especificada
N351,Estenose uretral pos-infecc NCOP
N907,Cisto vulvar
H930,Transt degenerativos e vasculares do ouvido
H042,Epifora
P54,Outr hemorragias neonatais
G63,Polineuropatia em doenc COP
S878,Traum p/esmag outr parte e partes NE perna
Y539,Subst atuam prim aparelho gastrointest NE
K871,Transt do pancreas em doenc COP
X425,Areas de comercio e de servicos
P028,Fet rec-nasc afet outr anorm membranas
E711,Outr disturb metab aminoacidos cadeia ramif
Z949,Orgao e tec NE transplantado
K041,Necrose da polpa
T703,Mal dos caixoes
A37,Coqueluche
M90,Osteopatias em doenc COP
C77,Neopl malig secund e NE gangl linfaticos
Y847,Amostra de sangue
V343,Ocupante NE acid n-trans
W273,Area p/a pratica de esportes e atletismo
B559,Leishmaniose NE
N97,Infertilidade femin
V587,Pessoa viajando ext veic acid trans
G564,Causalgia
D512,Defic de transcobalamina II
C132,Parede posterior da hipofaringe
C712,Lobo temporal
J939,Pneumotorax NE
X761,Habitacao coletiva
X794,Rua e estrada
C390,Trato respirat super porcao NE
M79,Outr transt dos tec moles NCOP
S348,Traum outr nerv e NE niv abdome dorso pelve
V400,Condutor acid n-trans
M728,Outr transt fibroblasticos
X153,Area p/a pratica de esportes e atletismo
V327,Pessoa viajando ext veic acid trans
V431,Passageiro acid n-trans
A085,Outr infecc intestinais espec
K21,Doenc de refluxo gastroesofagico
E135,C/compl circulatorias perifericas
R529,Dor NE
W555,Areas de comercio e de servicos
P239,Pneumonia congen NE
I860,Varizes sublinguais
Y126,Areas industriais e em construcao
Z489,SEGUIMENTO CIRURGICO NAO ESPECIFICADO
Z906,Ausencia adquir outr partes trato urinario
X996,Areas industriais e em construcao
Z801,Historia famil neopl malig traq bronq pulm
Z754,Outr organiz cuidados nao disp ou nao acess
B718,Outr infestacoes espec p/cestoides
P710,Hipocalcemia recem-nascido p/uso leite vaca
Y080,Residencia
G406,Crise de grande mal NE
N892,Displasia vaginal grave NCOP
Q782,Osteopetrose
J459,Asma NE
X852,Escolas outr instit areas admin publica
L211,Dermatite seborreica infantil
T561,Mercurio e seus compostos
T900,Sequelas de traum superf da cabeca
W498,Outr locais espec
X416,Areas industriais e em construcao
W134,Rua e estrada
F161,Uso nocivo p/a saude
N830,Cisto folicular do ovario
F607,Personalidade dependente
S967,Traum mult musc tendoes nivel tornozelo e pe
W437,Fazenda
Q61,Doenc cisticas do rim
E700,Fenilcetonuria classica
Z488,Outr seguimento cirurgico espec
W37,Explosao ruptura pneumat tubulac mang press
C699,Olho NE
X872,Escolas outr instit areas admin publica
R935,Achados anorm ex diag imag out reg abd retr
T470,Antagonistas dos receptores H2 da histamina
M412,Outr escolioses idiopaticas
M660,Ruptura de cisto popliteo
J206,Bronquite aguda dev rinovirus
D841,Defeitos no sist complemento
X811,Habitacao coletiva
W670,Residencia
F650,Fetichismo
M356,Paniculite recidivante
T812,Perfuracao lacerac acid durante proced NCOP
S89,Outr traum e os NE da perna
C323,Cartilagens da laringe
T415,Gases terapeuticos
S34,Traum nerv med lombar niv abdome dorso pelve
Q041,Arrinencefalia
W783,Area p/a pratica de esportes e atletismo
M88,Doenc de Paget do osso
T84,Complic disp prot impl enx ortopedicos int
N165,Transt renais tubulo-interst rej transpl
F173,Sindr de abstinencia
M802,Osteoporose de desuso c/frat patologica
F608,Outr transt especificos da personalidade
V642,Pessoa viajando ext veic acid n-trans
D26,Outr neopl benig do utero
K70,Doenc alcoolica do figado
S617,Ferim mult do punho e da mao
N978,Infertilidade feminina de outra origem
N043,Glomerulonefrite prolifer mesangial difusa
S362,Traum do pancreas
D430,Encefalo supratentorial
F13,Transt mentais comport dev uso sedat hipnot
R040,Epistaxis
K272,Aguda c/hemorragia e perfuracao
Z512,Outr quimioterapia
Y160,Residencia
Z221,Portador de outr doenc infecc intestinais
N279,Hipoplasia renal NE
T753,Doenc causada p/movimento
R799,Achado anormal de exame quimico do sangue NE
W565,Areas de comercio e de servicos
G328,Outr transt degener espec sist nerv doen COP
W832,Escolas outr instit areas admin publica
E669,Obesidade NE
M855,Cisto osseo aneurismatico
Z901,Ausencia adquir de mamas
Q043,Outr deform p/reducao do encefalo
A920,Febre de Chikungunya
P032,Fet rec-nasc afetados p/parto p/forceps
Z762,Superv cuid saud out crianc rec-nasc sadios
X846,Areas industriais e em construcao
D570,Anemia falciforme c/crise
N359,Estenose uretral NE
Q915,Trissomia 13 mosaicismo cromossomico
K565,Aderencias intestinais c/obstrucao
M357,Sindr de hipermobilidade
W319,Local NE
I510,Defeito adquir de septo cardiaco
G541,Transt do plexo lombossacral
Y325,Areas de comercio e de servicos
Q440,Agenesia aplasia hipoplasia vesicula biliar
Z43,Atencao a orificios artificiais
Z571,Exposicao ocupacional a radiacao
S245,Traum de outr nervos do torax
M015,Artrite em outr doenc virais COP
A188,Tuberc de outr orgaos espec
X945,Areas de comercio e de servicos
Q960,Cariotipo 45 X
D698,Outr afeccoes hemorragicas espec
F17,Transt mentais e comport dev uso de fumo
N914,Oligomenorreia secund
G833,Monoplegia NE
X632,Escolas outr instit areas admin publica
V316,Passageiro acid trans
A56,Outr infecc p/clamidias transm p/via sexual
T813,Deiscencia de ferida cirurgica NCOP
Q60,Agenesia renal e outr defeitos reducao rim
Q256,Estenose da arteria pulmonar
Y611,Durante infusao ou transfusao
I11,Doenc cardiaca hipertensiva
Y531,Outr medic antiacidos anti-secrecao gastrica
D132,Duodeno
Q692,Artelhos supranumerarios
T387,Androgenos e anabolizantes congeneres
X332,Escolas outr instit areas admin publica
Y351,Intervencao legal envolv o uso de explosivos
I71,Aneurisma e disseccao da aorta
T059,Amput traum mult NE
W213,Area p/a pratica de esportes e atletismo
P14,Lesoes ao nascer do sist nervoso periferico
G00,Meningite bacter NCOP
Z412,Circuncisao ritual e de rotina
G240,Distonia induz p/drogas
Y86,Sequelas de outr acid
Z714,Aconselhamento e supervisao p/abuso alcool
W152,Escolas outr instit areas admin publica
Q385,Malformacoes congen do palato NCOP
A230,Brucelose p/Brucella melitensis
X441,Habitacao coletiva
C923,Sarcoma mieloide
S608,Outr traum superf do punho e da mao
S03,Luxacao entorse distensao artic lig cabeca
T507,Analepticos antagonistas receptores opiaceos
Z033,Observacao p/suspeita de transt sist nervoso
P114,Traum de parto de outr nervos cranianos
J959,Transt respirat pos-proced NE
G01,Meningite em doenc bacter COP
D500,Anemia p/defic ferro secund perda de sangue
M949,Transt NE da cartilagem
E244,Sindr de pseudo-Cushing induz p/alcool
M241,Outr transt das cartilagens articulares
W408,Outr locais espec
V109,Ciclista NE em acid trans
P960,Insuf renal congen
V724,Pessoa ao subir ou descer do veic
B748,Outr filarioses
I431,Cardiomiopatia em doenc metabolicas
T144,Traum de nervos de regiao NE do corpo
R456,Violencia fisica
R825,Niveis urinar elev drogas medic subst biolog
V64,Ocup v tr pes tr col outr veic tr pes onib
O700,Laceracao perineo 1. grau durante o parto
P712,Hipomagnesemia neonatal
C102,Parede lateral da orofaringe
C09,Neopl malig da amigdala
F632,Roubo patologico
Q799,Malformacao congen NE do sist osteomuscular
V279,Motociclista NE acid trans
I091,Doenc reumaticas do endocardio valva NE
Z021,Exame pre-emprego
O679,Hemorragia intraparto NE
M872,Osteonecrose dev traum anterior
Q063,Outr malformacoes congen da cauda equina
Y300,Residencia
Q313,Laringocele
Z368,Outr rastr pre-natais
V49,Ocup automovel traum outr acid transp e NE
N15,Outr doenc renais tubulo-intersticiais
M761,Tendinite do psoas
Y612,Durante hemodialise ou outr perfusoes
C883,Doenc imunoproliferativa intestino delgado
M940,Sindr da juncao condrocostal
G368,Outr desmielinizacoes dissem agudas espec
R51,Cefaleia
V235,Passageiro acid trans
M511,Transt disco lombar outr intervert radiculop
Y48,Anestesicos e gases terapeuticos
V569,Ocupante NE acid trans
T114,Traum vaso sanguineo NE membro sup nivel NE
Y403,Macrolideos
Q680,Deform congen musculo esternocleidomastoideu
Q784,Encondromatose
M201,Hallux valgo
A038,Outr shigueloses
M854,Cisto osseo solitario
Q875,Outr sindr c/malf cong c/outr alt esqueleto
A50,Sifilis congen
Y23,Disparo arma fogo maior calibre intenc n det
Q69,Polidactilia
J430,Sindr de MacLeod
Y047,Fazenda
D32,Neopl benig das meninges
F488,Outr transt neuroticos espec
E832,Disturbios do metabolismo do zinco
R932,Achados anorm ex diag imag figado via biliar
V962,Acid de planador causando traum a ocup
W937,Fazenda
O628,Outr anormalidades da contracao uterina
X910,Residencia
E031,Hipotireoidismo congen s/bocio
C694,Corpo ciliar
V56,Ocup caminhonete traum colis outr veic n-mot
P832,Hidropsia fetal nao-dev doenc hemolitica
X041,Habitacao coletiva
S159,Traum de vasos sanguineos NE nivel pescoco
B341,Infecc p/enterovirus NE
O122,Edema gestacional c/proteinuria
K062,Lesoes geng rebord alveol s/dent assoc traum
W070,Residencia
T799,Complic precoce NE de traum
N921,Menstruacao excessiva freq c/ciclo irregular
X200,Residencia
H353,Degeneracao da macula e do polo posterior
Q992,Cromossomo X fragil
V490,Condutor colis outr veic NE mot acid n-trans
Y846,Cateterismo urinario
N014,Glomerulonefrite prolifer endocapilar difusa
Y402,Grupo do cloranfenicol
B029,Herpes zoster s/complic
W762,Escolas outr instit areas admin publica
L103,Penfigo brasileiro
M768,Outr entesopatias do membro infer excl o pe
K828,Outr doenc espec da vesicula biliar
G901,Disautonomia familiar
Y441,Vit B12 acid folic out prep presc anem megal
T335,Geladura superf do punho e da mao
W073,Area p/a pratica de esportes e atletismo
I658,Oclusao e estenose outr arteria pre-cerebral
Y418,Outr antiinfecc e antiparasitarios espec
B711,Infestacao p/Dipylidium
J051,Epiglotite aguda
X140,Residencia
W084,Rua e estrada
M076,Outr artropatias enteropaticas
O822,Parto p/cesariana p/histerectomia
D479,Neop comp inc/des tec linf hemat tec corr NE
A71,Tracoma
W920,Residencia
A839,Encefalite NE p/virus transm p/mosquitos
A60,Infecc anogenitais p/virus do herpes
Y405,Aminoglicosideos
E288,Outr disfuncao ovariana
F530,Transt ment comport leves assoc puerp NCOP
N329,Transt NE da bexiga
R862,Nivel anormal outr drog medic subst biolog
L41,Parapsoriase
Q850,Neurofibromatose
X472,Escolas outr instit areas admin publica
Y803,Instrumentos materiais aparelhos cirurgicos
Z625,Outr probl relac c/negl educacao dos filhos
H959,Transt NE ouvido apofise mastoide pos-proced
J700,Manifestacoes pulmonares agudas dev radiacao
Z652,Problemas ligados a libertacao de prisao
I029,Coreia reumatica s/compr cardiaco
Y607,Durante a admin de enema
E000,Sindr defic congen iodo tipo neurologico
L985,Mucinose da pele
Z759,Probl NE relac facil med outr cuid saude
Z600,Probl adaptacao transicoes do ciclo de vida
H442,Miopia degenerativa
K603,Fistula anal
X797,Fazenda
Q040,Malformacoes congen do corpo caloso
X738,Outr locais espec
X584,Rua e estrada
Q939,Delecoes NE dos autossomos
F628,Outr modificacoes duradouras personalidade
Y173,Area p/a pratica de esportes e atletismo
S751,Traum da veia femural nivel quadril e coxa
C787,Neopl malig secund do figado
Z09,Exame seguim apos trat out afec n neop malig
E291,Hipofuncao testicular
T75,Efeitos de outr causas externas
S643,Traum do nervo digital do polegar
E145,C/compl circulatorias perifericas
C159,Esofago NE
K082,Atrofia do rebordo alveolar s/dentes
B781,Estrongiloidiase cutanea
R700,Velocidade de hemossedimentacao elevada
K612,Abscesso anorretal
V339,Ocup NE acid trans
S135,Distensao e entorse da regiao tireoidiana
S003,Traum superf do nariz
S681,Amput traum de um outr dedo apenas
E569,Defic vitaminica NE
E760,Mucopolissacaridose do tipo I
D067,Outr partes do colo do utero
I86,Varizes de outr localiz
H44,Transt do globo ocular
Z833,Historia familiar de diabetes mellitus
P391,Conjuntivite e dacriocistite neonatais
R309,Miccao dolorosa NE
T611,Intox p/peixes escombrideos
R836,Achados citologicos anormais
S927,Frat mult do pe
K01,Dentes inclusos e impactados
N485,Ulcera do penis
K120,Aftas bucais recidivantes
F112,Sindr de dependencia
M633,Miosite na sarcoidose
X573,Area p/a pratica de esportes e atletismo
M943,Condrolise
W163,Area p/a pratica de esportes e atletismo
Q529,Malform congen NE dos orgaos genitais femin
C478,Lesao invasiva nervos perif e sist nerv auto
W644,Rua e estrada
F252,Transt esquizoafetivo do tipo misto
Q310,Pterigio da laringe
W233,Area p/a pratica de esportes e atletismo
X896,Areas industriais e em construcao
S997,Traum mult do tornozelo e do pe
R69,Causas desconhecidas e NE de morbidade
V160,Condutor em acid n-trans
Q561,Pseudo-hermafroditismo masc NCOP
S20,Traum superf do torax
J942,Hemotorax
F528,Outr disfunc sex n dev transt doenc organ
M235,Instabilidade cronica do joelho
I712,Aneurisma da aorta toracica s/mencao ruptura
C251,Corpo do pancreas
Y208,Outr locais espec
Q656,Quadril instavel
P836,Polipo umbilical do recem-nascido
L404,Psoriase gutata
W336,Areas industriais e em construcao
R821,Mioglobinuria
J101,Influenz c/out manif resp dev vir infl ident
H662,Otite media atico-antral supurativa cronica
X674,Rua e estrada
I472,Taquicardia ventricular
M363,Artropatias em outr doenc hematologicas
V711,Passageiro acid n-trans
G372,Mielinolise central da ponte
F82,Transt especifico do desenvolv motor
T826,Infecc reac inflam dev protese valvular card
X020,Residencia
X808,Outr locais espec
Y052,Escolas outr instit areas admin publica
X593,Area p/a pratica de esportes e atletismo
K59,Outr transt funcionais do intestino
W396,Areas industriais e em construcao
R783,Presenca de alucinogeno no sangue
V76,Ocup onibus traum colis outr veic n-motor
Q30,Malformacao congen do nariz
V825,Queda no interior bonde
E211,Hiperparatireoidismo secund NCOP
H904,Perda aud unilat neuro-sens s/rest aud contr
X330,Residencia
K562,Volvo
R457,Estado de choque emocional e tensao NE
G020,Meningite em doenc virais COP
Q352,Fenda bilateral do palato mole
E539,Defic NE de vitamina B
W582,Escolas outr instit areas admin publica
A982,Doenc da floresta de Kyasanur
T910,Sequelas traum superf e ferim pescoco tronco
X767,Fazenda
Y070,Outr sindr maus tratos p/esposo companheiro
Y129,Local NE
D02,Carcinoma in situ ouvido medio e ap respirat
S460,Traum do tendao do manguito rotador do ombro
J173,Pneumonia em doenc parasit COP
O747,Falha ou dific entubacao trab parto e parto
S570,Lesao p/esmag do cotovelo
P353,Hepatite viral congen
Q551,Hipoplasia do testiculo e do escroto
Q238,Outr malform congen valvas aortica mitral
W092,Escolas outr instit areas admin publica
S053,Lacer ocular s/prolap perda tec intra-ocular
Q982,Sindr de Klinefelter homem c/cariotipo 46 XX
Q796,Sindr de Ehlers-Danlos
X13,Contato c/vapor dagua e c/vapores quentes
Q258,Outr malformacoes congen grandes arterias
C118,Lesao invasiva da nasofaringe
T505,Inibidores do apetite
V757,Pessoa viajando ext veic acid trans
T379,Agentes antiinfecc e antiparasit sistem NE
P006,Fet rec-nasc afet intervencao cirurgica mae
L301,Disidrose
D163,Ossos curtos dos membros infer
R75,Evidencia laboratorial do HIV
T34,Geladura c/necrose de tec
O45,Descolamento prematuro da placenta
G819,Hemiplegia NE
V744,Pessoa ao subir ou descer do veic
K037,Alterac pos-eruptivas cor tec duros dentes
O920,Mamilo retraido assoc ao parto
N001,Lesoes glomerulares focais e segmentares
L678,Outr anorm cor pediculo dos cabelos ou pelos
C601,Glande
E873,Alcalose
X995,Areas de comercio e de servicos
Q548,Outr hipospadias
A391,Sindr de Waterhouse-Friderichsen
F910,Disturbio conduta restrito contexto familiar
D333,Nervos cranianos
Y187,Fazenda
Z510,Sessao de radioterapia
V543,Ocupante NE acid n-trans
C00,Neopl malig do labio
Z863,Hist pess doenc endocr nutric metabolicas
L575,Granuloma actinico
B656,Dermatite p/cercarias
M850,Displasia fibrosa
D46,Sindr mielodisplasicas
W088,Outr locais espec
N480,Leucoplasia do penis
E530,Defic de riboflavina
Z709,Aconselhamento NE em materia de sexualidade
C220,Carcinoma de celulas hepaticas
X37,Vitima de tempestade cataclismica
W409,Local NE
K598,Outr transt funcionais espec do intestino
T411,Anestesicos intravenosos
N849,Polipo do trato genital femin NE
X404,Rua e estrada
P77,Enterocolite necrotizante do feto e rec-nasc
G009,Meningite bacter NE
E03,Outr hipotireoidismos
M009,Artrite piogenica NE
A202,Peste pneumonica
C182,Colon ascendente
M404,Outr lordoses
K38,Outr doenc do apendice
M862,Osteomielite subaguda
W742,Escolas outr instit areas admin publica
I089,Doenc NE de mult valvas
B575,Doenc de Chagas c/compr de outr orgaos
H51,Outr transt do movimento binocular
P049,Fet rec-nasc afet infl nocivas maternas NE
S431,Luxacao da articulacao acromioclavicular
B262,Encefalite p/caxumba
Y602,Durante hemodialise ou outr perfusoes
C608,Lesao invasiva do penis
W350,Residencia
H062,Exoftalmo distireoideo
M856,Outr cisto osseo
M435,Outr subluxacoes vertebrais recidivantes
Q00,Anencefalia e malformacoes similares
F10,Transt mentais comport dev uso alcool
P291,Disritmia cardiaca neonatal
W274,Rua e estrada
V525,Condutor acid trans
S272,Hemopneumotorax traum
W389,Local NE
E779,Disturbio NE do metabolismo glicoproteinas
T235,Corrosao de 1.grau do punho e da mao
T049,Traum mult p/esmag NE
V821,Colis veic mot acid trans
L530,Eritema toxico
R897,Achados histolog anormais
O242,Diabetes mellitus pre-existente rel desnutr
X652,Escolas outr instit areas admin publica
Z092,Exame seguim apos quimioterap p/outr afecc
L921,Necrobiose lipoidica NCOP
I951,Hipotensao ortostatica
B051,Sarampo complicado p/meningite
A217,Tularemia generalizada
F941,Disturbio reativo de vinculacao da infancia
V225,Passageiro acid trans
B463,Mucormicose cutanea
R490,Disfonia
O066,Compl ou NE complic hemorrag excess ou tard
M99,Lesoes biomecanicas NCOP
K902,Sindr da alca cega NCOP
C490,Tec conjuntivo e moles cabeca face e pescoco
A692,Doenc de Lyme
X405,Areas de comercio e de servicos
R238,Outr alteracoes da pele e as NE
P030,Fet rec-nasc afet parto e extracao pelvicas
W893,Area p/a pratica de esportes e atletismo
Z030,Observacao p/suspeita de tuberc
V462,Pessoa viajando ext veic acid n-trans
E749,Disturbio NE do metabolismo de carboidratos
Z093,Exame seguim apos psicoterapia
O618,Outr form falha na inducao trabalho de parto
Q716,Mao em garra de lagosta
G723,Paralisia periodica
W553,Area p/a pratica de esportes e atletismo
A042,Infecc p/Escherichia coli enteroinvasiva
Y841,Hemodialise
A045,Enterite p/Campylobacter
T391,Derivados do 4-aminofenol
Q924,Duplicacoes vistas somente na prometafase
K920,Hematemese
O912,Mastite nao purulenta assoc ao parto
G474,Narcolepsia e cataplexia
H476,Transt do cortex visual
T74,Sindr de maus tratos
X328,Outr locais espec
W036,Areas industriais e em construcao
J449,Doenc pulmonar obstrutiva cronica NE
C467,Sarcoma de Kaposi de outr localiz
F175,Transt psicotico
G464,Sindr vascular cerebelar
W64,Exposicao outr forcas mecan animadas e as NE
L638,Outr form de alopecia areata
M17,Gonartrose
N901,Displasia vulvar moderada
O927,Outr disturbios da lactacao e os NE
L664,Foliculite uleritematosa reticulada
S547,Traum de mult nervos ao nivel do antebraco
L049,Linfadenite aguda de localiz NE
F942,Transt de fixacao da infancia c/desinibicao
W736,Areas industriais e em construcao
M893,Hipertrofia ossea
O431,Malformacao da placenta
H061,Infestacao parasit da orbita doenc COP
T170,Corpo estranho no seio nasal
O896,Falha dific de entubacao durante puerperio
A798,Outr tipos de rickettsioses espec
G57,Mononeuropatias dos membros infer
V809,Outr acid transp e NE
W675,Areas de comercio e de servicos
T318,Queim envolv de 80-89% da superf corporal
L041,Linfadenite aguda do tronco
M484,Frat de fadiga de vertebra
E722,Disturbios do metabolismo do ciclo da ureia
G239,Doenc degenerativa dos ganglios da base NE
R031,Valor baixo pressao arterial nao especifico
H179,Cicatriz e opacidade NE da cornea
V662,Pessoa viajando ext veic acid n-trans
H611,Transt nao-infecc do pavilhao da orelha
B871,Miiase das feridas
F70,Retardo mental leve
S298,Outr traum espec do torax
T487,Outr subst e NE que atuam prim s/ap respirat
W593,Area p/a pratica de esportes e atletismo
V031,Acid trans
V550,Condutor acid n-trans
W428,Outr locais espec
L958,Outr vasculites limitadas a pele
R14,Flatulencia e afeccoes correlatas
Y899,Sequelas de causa externa NE
B531,Malaria p/plasmodios de macacos
K574,Doenc divert intest delg grosso c/perf absc
W942,Escolas outr instit areas admin publica
Q711,Ausencia congen braco antebraco c/mao pres
